,Unnamed: 0,year,month,location,fatalities,cat,Latitude,Longitude
137,15895,1973,JAN,near Guiyang,29.0,1,26.58333,106.71667
138,1146,1979,JAN,Beirut Internati...,0.0,1,,
139,2200,1979,JAN,Catalina Island-...,0.0,1,18.3588724,-69.0081006
140,11125,1979,JAN,Shenyang,0.0,1,41.8026095,123.4279105
141,5716,2019,JAN,Khanty-Mansiysk ...,0.0,1,61.0034448,69.0190006
142,4467,1993,JAN,Gwangju (Kwangju...,0.0,1,35.1659931,126.909777
143,11668,2015,JAN,SÃ£o Paulo-Congo...,0.0,1,-9.65,28.53333
144,19388,1979,JAN,near San Borja,0.0,1,-14.81667,-66.85
145,7224,1979,JAN,Managua-Las Merc...,0.0,1,,
146,11847,1979,JAN,"Taos Airport, NM...",0.0,1,36.4428471,-105.6689418
147,20522,2005,JAN,near Tura,9.0,1,10.5663991,14.2913901
148,4820,2014,JAN,Honiara-Henderso...,0.0,1,,
149,421,2005,JAN,Andahuaylas Airp...,0.0,1,,
150,16436,2019,JAN,"near Kake, AK",3.0,1,56.973554,-133.935996
151,3734,2019,JAN,Fat'h Airport,15.0,1,,
152,9543,1979,JAN,Pisa-Arturo dell...,0.0,1,35.85535,-90.04176
153,19905,1997,JAN,near Sparrevohn Airpo...,1.0,1,,
154,13402,2014,JAN,near Addis Ababa-Bole...,0.0,1,,
155,5518,1973,JAN,Kano Internation...,176.0,1,,
156,11561,1993,JAN,Surabaya-Juanda ...,0.0,1,-7.346776,112.7298365
157,13558,1993,JAN,near Altamira Airport...,3.0,1,,
158,196,1993,JAN,Al Taqaddum Air ...,0.0,1,,
159,21046,1997,JAN,near Yola Airport (YOL),5.0,1,9.25755,12.43042
160,2450,1980,JAN,Chicago-Merrill ...,2.0,1,41.7197635,-87.5722353
161,18595,1982,JAN,near Pensacola Region...,1.0,1,,
162,2777,1982,JAN,Corpus Christi N...,0.0,1,-27.129086,-55.509778
163,18105,2007,JAN,"near Nenana, AK",0.0,1,64.87879,-147.800008
164,9002,2002,JAN,Omsk Airport (OMS),0.0,1,54.9632925,73.3113016
165,16134,1972,JAN,near Ibiza Airport (IBZ),104.0,1,38.87286,1.37312
166,6141,1998,JAN,KÃ¸benhavn-Kastr...,0.0,1,,
167,479,2020,JAN,Antalya Airport ...,0.0,1,36.8999424,30.7981914
168,6600,1991,JAN,Lima Internation...,1.0,1,,
169,6729,1972,JAN,London-Gatwick A...,0.0,1,38.5,-0.5
170,2737,1982,JAN,Constanta Airpor...,7.0,1,,
171,15705,1982,JAN,near Gelendzhik,18.0,1,44.5622,38.0848
172,1009,1982,JAN,Barranquilla-Ern...,0.0,1,,
173,14099,1972,JAN,near Betania,39.0,1,-8.27472,-38.03417
174,19042,1991,JAN,near Ras Al Khafji,14.0,1,28.43905,48.49132
175,18218,1982,JAN,near Noumea-Tontouta ...,7.0,1,,
176,2951,1982,JAN,Damascus Interna...,0.0,1,,
177,6616,1998,JAN,Limbang Airport ...,0.0,1,4.8077221,115.0096341
178,14211,1972,JAN,near BogotÃ¡-Eldorado...,20.0,1,,
179,9916,1991,JAN,Qadisiyah Air Ba...,0.0,1,-36.0,-60.0
180,237,1998,JAN,Alghero-Fertilia...,0.0,1,40.6307736,8.2956361
181,5347,2007,JAN,Johannesburg-O.R...,0.0,1,,
182,1639,1991,JAN,Bourgas Airport ...,0.0,1,42.5657058,27.5176517
183,12005,1998,JAN,Thandwe Airport ...,16.0,1,18.4679321,94.3024827
184,1480,2013,JAN,Bloemspruit Air ...,0.0,1,-29.1014894,26.3077858
185,3685,1972,JAN,Fairbanks Intern...,0.0,1,,
