,year,month,location,fatalities,cat
18647,1972,JAN,near Phnom Penh-Poche...,0.0,1
7568,2013,JAN,Mendoza-El Plume...,0.0,1
6998,1992,JAN,Lyakhsh,0.0,1
911,1992,JAN,Bangkok Internat...,0.0,1
597,2014,JAN,Aspen-Pitkin Cou...,1.0,1
10671,2020,JAN,San Juan-Fernand...,0.0,2
15399,1992,JAN,near Elefsis Air Base,3.0,1
16011,2006,JAN,near Hejce,42.0,1
118,1981,JAN,Adler/Sochi Airp...,0.0,1
10785,2013,JAN,Santa Cruz-El Tr...,0.0,1
12911,1981,JAN,Whidbey Island-N...,0.0,1
8446,1997,JAN,"Nakina Airport, ...",0.0,1
796,1981,JAN,Bahar Dar Airpor...,0.0,1
5936,1992,JAN,Komo Airport (KOM),0.0,1
5192,1981,JAN,Izmir-Cigli Air ...,0.0,1
9764,1992,JAN,Poste Montagnais...,0.0,1
8603,1972,JAN,New York-John F....,0.0,1
12785,1981,JAN,Warszawa-Okecie ...,0.0,1
2378,1992,JAN,Cheju Airport (CJU),0.0,1
886,2020,JAN,Bandar Mahshahr ...,0.0,1
2034,2006,JAN,Caloundra Airpor...,0.0,1
13660,1997,JAN,near Apia-Fagali'i Ai...,3.0,1
19688,2002,JAN,near Shamsi,7.0,1
8782,1972,JAN,Norman Wells Air...,0.0,1
11984,2020,JAN,"Terrace Airport,...",0.0,1
9443,1981,JAN,"Petrolina, PE",0.0,1
20750,2006,JAN,"near Villanow, GA",4.0,1
6974,1981,JAN,Luxembourg-Finde...,0.0,1
15795,1991,JAN,near Gorontalo-Jalalu...,1.0,1
17980,1991,JAN,near MÃ©rida-A Carnev...,22.0,1
16641,1972,JAN,near Khost Airport (KHT),0.0,1
143,1981,JAN,Agua Negro Ranch...,0.0,1
1490,1981,JAN,Bluefield-Mercer...,5.0,1
14041,1991,JAN,"near Belo Horizonte, MG",5.0,1
14963,2020,JAN,"near Cooma, NSW",3.0,1
6667,1998,JAN,Lloydminster Air...,0.0,1
1913,2007,JAN,Butler County/K....,0.0,1
1468,1981,JAN,Blenheim-Woodbou...,0.0,1
14668,1972,JAN,near CeskÃ© Kamenice,27.0,1
13547,2013,JAN,near Almaty Airport (...,21.0,1
10929,2020,JAN,Schefferville Ai...,0.0,1
6658,1997,JAN,Liverpool Intern...,0.0,1
16290,1997,JAN,near Jaffna-Palaly Ai...,4.0,1
8960,2013,JAN,Okiwi Station Ai...,0.0,1
3735,2006,JAN,Fataki,0.0,1
15641,2006,JAN,near Freiburg Im Brei...,2.0,1
9770,1972,JAN,Poughkeepsie-Dut...,1.0,1
16185,1981,JAN,near Inner Hebrides,3.0,1
19909,1981,JAN,near Spokane Internat...,7.0,1
9996,1981,JAN,Ramstein AFB  (RMS),9.0,1
2162,2006,JAN,Carlsbad-McClell...,4.0,1
20602,2020,JAN,near Unalaska-Tom Mad...,0.0,1
1302,1997,JAN,Berlin-Tegel Air...,0.0,1
5291,1972,JAN,Jeddah Internati...,0.0,1
1760,2018,JAN,Brownsville-Sout...,0.0,1
9175,1991,JAN,Palembang Airpor...,0.0,1
5626,2002,JAN,Kavak Airstrip,0.0,1
12605,1991,JAN,Vichy-Rolla Nati...,0.0,1
190,1991,JAN,Al Bakr-Balad So...,0.0,1
19451,1990,JAN,near San JosÃ©-Juan S...,23.0,1
15917,1979,JAN,near Haikota,3.0,1
19718,2015,JAN,near Shatyrkul Mine,6.0,1
11066,2017,JAN,Shabunda Airport,0.0,1
7535,2003,JAN,Melilla Airport ...,0.0,1
3279,1975,JAN,Dolo,0.0,1
6518,2018,JAN,Legazpi-Bicol In...,0.0,1
17550,1995,JAN,"near Masset Airport, ...",5.0,1
5977,1995,JAN,Koundara-Sambail...,0.0,1
14155,2017,JAN,near Bishkek-Manas In...,39.0,1
13425,1975,JAN,near AgadÃ¨s Airport ...,0.0,1
15409,1994,JAN,near Elorza Airport (...,2.0,1
19568,1977,JAN,near Sarajevo Airport...,8.0,1
13175,1975,JAN,Zaporozhye Airpo...,0.0,1
9267,1994,JAN,Paris-Charles de...,0.0,1
12151,1995,JAN,Toogoolawah Airp...,0.0,1
8700,1995,JAN,Newton Municipal...,0.0,1
9837,2004,JAN,Pueblo Memorial ...,0.0,1
11665,2003,JAN,SÃ£o Paulo-Congo...,0.0,1
3532,1977,JAN,El Peru,0.0,1
6009,1994,JAN,Kuala Kapuas,0.0,1
15648,1976,JAN,near Frunze Airport (...,6.0,1
13404,1975,JAN,"near Addison Airport,...",0.0,1
9482,1975,JAN,Phnom Penh-Poche...,0.0,3
7210,1976,JAN,Manado-Samratula...,0.0,1
9956,2003,JAN,Quito-Mariscal S...,0.0,1
10948,2017,JAN,Scottsdale Airpo...,0.0,1
10860,1975,JAN,Santo Domingo-La...,1.0,1
6136,1976,JAN,KÃ¸benhavn-Kastr...,0.0,1
12092,1995,JAN,Tobolsk Airport ...,0.0,1
9296,1995,JAN,Paris-Le Bourget...,10.0,1
5325,2018,JAN,Jessore Airport ...,0.0,1
7883,1995,JAN,Molo Strait,14.0,1
5835,1995,JAN,Kinshasa-N'Djili...,0.0,1
3790,2017,JAN,Five Point-Agro-...,0.0,1
18581,2004,JAN,"near Pelee Island, ON",10.0,1
10063,2004,JAN,Reus Airport (REU),0.0,1
5805,1976,JAN,Kimba Ngorongoro,0.0,1
6770,1975,JAN,London-Stansted ...,0.0,1
19391,1976,JAN,near San Borja-Capita...,7.0,1
17112,1976,JAN,near Leningrad-Smolno...,0.0,1
9851,1994,JAN,Puerto Inirida A...,0.0,1
10261,2004,JAN,Roma-Fiumicino A...,0.0,1
391,1977,JAN,Anchorage Intern...,6.0,2
13990,2003,JAN,near Baucau-Cakung Ai...,6.0,1
20546,1994,JAN,near Tver-Migalovo Ai...,7.0,1
10789,1994,JAN,Santa Elena Airs...,0.0,1
3731,1975,JAN,Faroe Islands-Va...,0.0,1
366,1994,JAN,Amsterdam-Schiph...,0.0,1
2902,2004,JAN,Dakar-LÃ©opold S...,0.0,2
10531,1977,JAN,Samarinda Airpor...,0.0,1
15720,2004,JAN,near GhardaÃ¯a-NoumÃ©...,1.0,1
2173,1974,JAN,"Carp Airport, ON...",0.0,2
10569,1977,JAN,San Borja Airpor...,0.0,1
10279,2016,JAN,RondonÃ³polis-Ma...,0.0,1
8487,1996,JAN,Nashville Intern...,0.0,1
6176,2018,JAN,La Paragua Airport,0.0,1
8428,1996,JAN,Nairobi-Wilson A...,0.0,1
2489,2016,JAN,Chicago-O'Hare I...,0.0,1
12394,1994,JAN,Ufa Airport (UFA),0.0,1
10895,2017,JAN,Sasakwa Airstrip,0.0,1
13597,2016,JAN,near Anaktuvuk Pass A...,0.0,1
9415,1975,JAN,Pensacola Region...,0.0,1
3378,2017,JAN,Durango-La Plata...,0.0,1
16687,1994,JAN,near Kinshasa-N'Djili...,2.0,1
8574,1975,JAN,New Orleans NAS/...,2.0,1
21314,1995,JAN,Ãlesund-Vigra A...,0.0,1
20146,1995,JAN,near Taipei,4.0,1
14449,1995,JAN,near Cafunfo Airport ...,2.0,1
11692,1977,JAN,SÃ¼tÃ§Ã¼ler,7.0,1
6164,1975,JAN,La Grande Airpor...,0.0,1
11517,2004,JAN,Sturt Island,0.0,1
17984,2004,JAN,near MÃ¼nchen-Franz J...,0.0,1
14656,2016,JAN,"near Cedar Fort, UT",2.0,1
12308,1975,JAN,Tucson-Davis Mon...,0.0,1
3426,2003,JAN,"Eden Lake, BC",0.0,1
11679,1977,JAN,SÃ£o Paulo-Virac...,0.0,1
11516,1977,JAN,"Sturgate, Lincol...",0.0,1
12099,2004,JAN,Tokunoshima Airp...,0.0,1
19715,2004,JAN,near Sharm el Sheikh,148.0,1
15536,1977,JAN,near Flint-Bishop Air...,2.0,1
9209,1976,JAN,Palu Airport (PLW),0.0,1
16796,1995,JAN,near Krasnoyarsk Airp...,3.0,1
9581,1995,JAN,"Pleasanton, CA",1.0,1
11591,2017,JAN,"Swan River, Pert...",2.0,1
10126,2003,JAN,Rio Branco-PlÃ¡c...,0.0,1
18683,2003,JAN,"near Pikangikum, ON",0.0,1
169,2018,JAN,Akobo,1.0,1
2709,2003,JAN,Columbus-Port Co...,0.0,1
2631,2003,JAN,Cleveland-Hopkin...,0.0,1
19063,1976,JAN,"near Recife, PE",1.0,1
18392,2017,JAN,near Oslo-Gardermoen ...,0.0,1
13128,1995,JAN,Yogyakarta-Adisu...,0.0,1
7276,1976,JAN,Manila Airport (...,0.0,1
7239,1995,JAN,Manaus-Eduardo G...,0.0,1
12307,2017,JAN,Tucson Internati...,2.0,1
10294,1995,JAN,Rostov Airport (...,0.0,1
16897,1975,JAN,"near La Angostura, TU",13.0,1
